modelrun_id,modelrun_alias,geography,area_detail,year,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,suburban,2023,1083649.0,2058064.6,1493802.2,0.7258286255931907,443026.0,247071.40000000002,20397.6,0.08255751171523695
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,area_type,urban,2023,2799335.0,3031468.4,1578783.4,0.5207982375801773,1629518.0,912797.6000000001,74288.0,0.08138496420235986
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,1.0,2050,526860.0,584557.0,63176.0,0.10807500380630118,440640.0,443004.0,4385.0,0.009898330489115223
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,2.0,2050,126267.0,153277.0,30353.0,0.1980271012611155,96431.0,100288.0,3857.0,0.03845923739629866
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,3.0,2050,276693.0,311423.0,40424.0,0.12980415704684625,224999.0,226783.0,5729.0,0.02526203463222552
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,4.0,2050,34254.0,40212.0,6871.0,0.1708693922212275,25008.0,26022.0,1014.0,0.03896702789946968
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,5.0,2050,206550.0,230762.0,28738.0,0.12453523543737703,131483.0,134930.0,5005.0,0.03709330764099904
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,6.0,2050,157707.0,168769.0,13986.0,0.08287066937648502,117750.0,121750.0,4971.0,0.040829568788501025
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,7.0,2050,254493.0,270787.0,18637.0,0.06882531288429651,202261.0,210200.0,8214.0,0.039077069457659375
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,8.0,2050,231788.0,248068.0,17414.0,0.07019849396133318,169753.0,174552.0,6081.0,0.03483775608414685
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,9.0,2050,667358.0,718182.0,51959.0,0.07234795636760598,428675.0,433860.0,13338.0,0.030742635873323192
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,10.0,2050,213662.0,241358.0,29115.0,0.12062993561431566,133236.0,143692.0,10505.0,0.07310775826072433
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,11.0,2050,290259.0,325410.0,36862.0,0.11327863310900095,194787.0,203070.0,8651.0,0.042601073521445806
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,12.0,2050,135363.0,180642.0,47367.0,0.2622147673298568,52397.0,57685.0,5821.0,0.10091011528126896
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,13.0,2050,66028.0,78186.0,12684.0,0.16222853196224388,27948.0,32313.0,4365.0,0.1350849503295887
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,14.0,2050,60641.0,71845.0,14622.0,0.20352146983088593,17192.0,20598.0,3406.0,0.16535585979221284
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,15.0,2050,158970.0,191814.0,40027.0,0.20867611331811026,79852.0,85193.0,6263.0,0.07351542967145187
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,16.0,2050,183130.0,237001.0,55575.0,0.23449268146547905,54819.0,57069.0,3690.0,0.06465857120328024
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,17.0,2050,189892.0,247649.0,58279.0,0.2353290342379739,72483.0,78600.0,6724.0,0.0855470737913486
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,18.0,2050,353382.0,413501.0,62128.0,0.15024872974914208,273397.0,283756.0,17187.0,0.060569644342322274
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,19.0,2050,184678.0,200312.0,19142.0,0.09556092495706697,147967.0,154064.0,6243.0,0.040522120677121194
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,20.0,2050,112261.0,137270.0,25652.0,0.18687258687258687,61026.0,68276.0,7251.0,0.10620130060343312
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,21.0,2050,163646.0,195119.0,33071.0,0.1694914385580082,100245.0,107856.0,9064.0,0.08403797656134104
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,22.0,2050,85986.0,93257.0,10121.0,0.10852804615203149,57226.0,59436.0,3484.0,0.05861767279090114
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,23.0,2050,67059.0,84135.0,22931.0,0.2725500683425447,37061.0,38418.0,1694.0,0.04409391431100005
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,Draft Blueprint,superdistrict,24.0,2050,68172.0,93339.0,26829.0,0.2874361199498602,25818.0,32919.0,7101.0,0.21571129135149913
