modelrun_id,modelrun_alias,superdistrict,total_households,total_jobs,hh_growth,jobs_growth,hh_share_of_growth,jobs_share_of_growth
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2023 Draft Blueprint,34.0,40923.0,40617.0,,,,
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,1.0,147978.0,526860.0,49228.600000000006,122632.59999999998,0.05252918744650097,0.09200389584686579
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,2.0,130762.0,126267.0,21000.600000000006,14580.399999999994,0.022408609098958504,0.010938800963248285
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,3.0,207278.0,276693.0,61653.79999999999,83763.0,0.06578744910456688,0.06284236269818155
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,4.0,65680.0,34254.0,12922.800000000003,3112.0,0.013789223815701501,0.002334747235852835
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,5.0,169637.0,206550.0,64546.8,71419.20000000001,0.06887441357811941,0.05358154877468535
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,6.0,111673.0,157707.0,16521.800000000003,41972.600000000006,0.017629522861783594,0.031489528223507944
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,7.0,108047.0,254493.0,20414.0,89626.0,0.021782679835154174,0.06724102048860739
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,8.0,96426.0,231788.0,19702.399999999994,57564.79999999999,0.021023369804258913,0.043187422134454125
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,9.0,213540.0,667358.0,90774.2,276296.2,0.09686025942452493,0.20728849268208294
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,10.0,156514.0,213662.0,32679.600000000006,70666.0,0.0348706409297984,0.05301646792055798
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,11.0,171677.0,290259.0,57330.0,113114.20000000001,0.061173755018584734,0.08486281034245012
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,12.0,146719.0,135363.0,33415.8,21030.399999999994,0.035656200295657144,0.015777849700796737
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,13.0,88877.0,66028.0,14457.199999999997,12772.400000000001,0.015426499407896093,0.009582366836506026
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,14.0,43184.0,60641.0,6366.0,13309.199999999997,0.00679281570640695,0.009985095729888349
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,15.0,121095.0,158970.0,35202.600000000006,24293.600000000006,0.03756279833276176,0.01822603324193909
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,16.0,153516.0,183130.0,40910.399999999994,40515.0,0.043653284271974686,0.03039597823283342
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,17.0,154670.0,189892.0,28051.199999999997,29078.20000000001,0.029931924590569058,0.02181563209305139
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,18.0,275403.0,353382.0,76216.0,63869.59999999998,0.08132598835681937,0.047917536007399154
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,19.0,108058.0,184678.0,29092.199999999997,16138.399999999994,0.031042719618902332,0.0121076750614034
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,20.0,112694.0,112261.0,18884.199999999997,28944.0,0.020150312655188518,0.0217149498697058
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,21.0,112616.0,163646.0,23964.600000000006,40462.399999999994,0.025571333848218667,0.03035651560281868
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,22.0,78189.0,85986.0,15613.400000000001,1033.3999999999942,0.016660218151180378,0.0007752981341678361
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,23.0,68112.0,67059.0,11185.400000000001,-352.8000000000029,0.011935337857751227,-0.0002646847123421873
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,24.0,133071.0,68172.0,31911.600000000006,13303.199999999997,0.034051149496791715,0.009980594289202258
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,25.0,57771.0,49730.0,5234.199999999997,6256.800000000003,0.005585132888858819,0.004694102347456306
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,26.0,131005.0,101654.0,37474.8,18868.199999999997,0.039987340564633864,0.014155680525552203
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,27.0,48572.0,44940.0,13349.800000000003,-1262.4000000000015,0.014244852516084122,-0.0009471031203536704
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,28.0,23553.0,19465.0,7899.0,-1343.4000000000015,0.008428597434010131,-0.0010078725696159067
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,29.0,75061.0,90939.0,9183.800000000003,20010.399999999994,0.009799538310477562,0.015012604784161167
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,30.0,96974.0,147505.0,9649.800000000003,34805.2,0.010296781810192555,0.0261122572279258
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,31.0,40495.0,43924.0,4766.800000000003,11857.599999999999,0.005086395524552414,0.008896047179899927
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,32.0,38019.0,30747.0,15007.0,3382.0,0.01601316137386885,0.0025373120667269563
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,33.0,60533.0,49884.0,16816.199999999997,-8511.800000000003,0.01794366124443615,-0.006385893805312393
PBA50Plus_DraftBlueprint/PBA50Plus_Draft_Blueprint_v8_znupd_nodevfix,2050 Draft Blueprint,34.0,46663.0,40317.0,5740.0,-300.0,0.006124844824815566,-0.0002250720343045792
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,1.0,98749.4,404227.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,2.0,109761.4,111686.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,3.0,145624.2,192930.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,4.0,52757.2,31142.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,5.0,105090.2,135130.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,6.0,95151.2,115734.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,7.0,87633.0,164867.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,8.0,76723.6,174223.2,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,9.0,122765.8,391061.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,10.0,123834.4,142996.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,11.0,114347.0,177144.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,12.0,113303.2,114332.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,13.0,74419.8,53255.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,14.0,36818.0,47331.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,15.0,85892.4,134676.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,16.0,112605.6,142615.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,17.0,126618.8,160813.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,18.0,199187.0,289512.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,19.0,78965.8,168539.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,20.0,93809.8,83317.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,21.0,88651.4,123183.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,22.0,62575.6,84952.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,23.0,56926.6,67411.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,24.0,101159.4,54868.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,25.0,52536.8,43473.2,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,26.0,93530.2,82785.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,27.0,35222.2,46202.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,28.0,15654.0,20808.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,29.0,65877.2,70928.6,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,30.0,87324.2,112699.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,31.0,35728.2,32066.4,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,32.0,23012.0,27365.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,33.0,43716.8,58395.8,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2023 Final Blueprint,34.0,40923.0,40617.0,,,,
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,1.0,152339.0,530022.0,53589.600000000006,125794.59999999998,0.057182575648769385,0.094376863141522
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,2.0,133501.0,121874.0,23739.600000000006,10187.399999999994,0.02533124846745499,0.007643053482168081
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,3.0,226389.0,273291.0,80764.79999999999,80361.0,0.08617976782356518,0.060290498152669916
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,4.0,66398.0,34323.0,13640.800000000003,3181.0,0.01455536294187181,0.0023865317084611065
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,5.0,166656.0,214925.0,61565.8,79794.20000000001,0.06569354904453488,0.05986525886554142
PBA50Plus_FinalBlueprint/PBA50Plus_Final_Blueprint_v65,2050 Final Blueprint,6.0,114904.0,146431.0,19752.800000000003,30696.600000000006,0.021077148929549986,0.023029993474362534
