year,geography,modelrun_id,modelrun_alias,county,jobs_office,job_spaces_office,job_spaces_office_vacant,job_spaces_office_vacant_percent,jobs,job_spaces,job_spaces_vacant,job_spaces_vacant_percent
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Alameda,443645.2,557679.2,114034.0,0.2044795645955596,896644.0,1261570.6,364924.0,0.28926165527319675
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Contra Costa,201315.2,254498.2,53183.0,0.20897200844642516,414308.0,546623.8,132317.0,0.2420622739075759
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Marin,79428.6,94160.6,14732.0,0.15645609734857255,127546.0,148776.0,21232.0,0.14271118997687798
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Napa,6647.8,9976.8,3329.0,0.3336741239676049,67012.0,96325.4,29313.0,0.3043122582413362
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,San Francisco,505439.39999999997,645806.4,140367.0,0.21735151587224902,740334.0,987019.7999999999,246695.0,0.24993926160346533
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,San Mateo,237111.4,337146.39999999997,100035.0,0.29671086507226535,416085.0,538629.0,122549.0,0.22752024120498526
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Santa Clara,511778.4,738283.4,226505.0,0.30679952982824754,1107401.0,1514004.6,406622.0,0.2685738207136226
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Solano,33577.4,43821.4,10244.0,0.23376706358080754,126588.0,169900.8,43309.0,0.2549075695935511
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Sonoma,120652.59999999999,162447.6,41795.0,0.2572829638603463,215792.0,279650.8,63859.0,0.22835264551361914
2023,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Region,2139596.0,2843820.0,704224.0,0.2476331132068837,4111710.0,5542500.8,1430820.0,0.25815422525514115
2050,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Alameda,634667.0,659795.0,25128.0,0.03808455656681242,1138747.0,1356697.0,217950.0,0.16064751377794748
2050,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Contra Costa,292966.0,310940.0,17974.0,0.057805364378979866,527821.0,613205.0,85384.0,0.13924217839058717
2050,county,PBA50Plus_NoProject/PBA50Plus_NoProject_v38,2050 No Project,Marin,96866.0,102091.0,5225.0,0.05117982975972417,136769.0,148656.0,11887.0,0.07996313636852868
